Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Unit
376	Spectrogram 1	1	57191.351658588	57191.351658588	46.1	46.1	B
377	Spectrogram 1	1	57287.750058384	57287.750058384	83.2	83.2	A
378	Spectrogram 1	1	57337.263772292	57337.263772292	44.1	44.1	B
379	Spectrogram 1	1	57440.672944700	57440.672944700	82.2	82.2	A
380	Spectrogram 1	1	57489.748502886	57489.748502886	47.1	47.1	B
381	Spectrogram 1	1	57537.947693415	57537.947693415	46.1	46.1	B
382	Spectrogram 1	1	57614.190049344	57614.190049344	81.2	81.2	A
383	Spectrogram 1	1	57661.074716495	57661.074716495	45.1	45.1	B
384	Spectrogram 1	3	57795.156119796	57795.156119796	83.2	83.2	A
385	Spectrogram 1	1	57841.602612488	57841.602612488	45.1	45.1	B
386	Spectrogram 1	1	57895.498070989	57895.498070989	45.1	45.1	B
387	Spectrogram 1	1	57949.393548228	57949.393548228	45.1	45.1	B
388	Spectrogram 1	1	58003.289006729	58003.289006729	45.1	45.1	B
389	Spectrogram 1	1	58056.746290771	58056.746290771	45.1	45.1	B
390	Spectrogram 1	1	58111.518098190	58111.518098190	46.1	46.1	B
391	Spectrogram 1	1	58164.975382232	58164.975382232	47.1	47.1	B
392	Spectrogram 1	1	58221.061731768	58221.061731768	45.1	45.1	B
393	Spectrogram 1	1	58276.709888106	58276.709888106	45.1	45.1	B
394	Spectrogram 1	1	58331.919869985	58331.919869985	45.1	45.1	B
395	Spectrogram 1	1	58386.253502945	58386.253502945	44.1	44.1	B
396	Spectrogram 1	1	58442.339852481	58442.339852481	45.1	45.1	B
397	Spectrogram 1	3	58529.974744353	58529.974744353	82.2	82.2	A
398	Spectrogram 1	1	58580.364807179	58580.364807179	45.1	45.1	B
399	Spectrogram 1	1	58634.698440139	58634.698440139	46.1	46.1	B
400	Spectrogram 1	1	58689.032091837	58689.032091837	45.1	45.1	B
401	Spectrogram 1	1	58744.680248176	58744.680248176	45.1	45.1	B
402	Spectrogram 1	3	58842.393152613	58842.393152613	84.3	84.3	A
403	Spectrogram 1	1	58890.154187420	58890.154187420	46.1	46.1	B
404	Spectrogram 1	1	58944.925994840	58944.925994840	45.1	45.1	B
405	Spectrogram 1	1	58997.945104422	58997.945104422	46.1	46.1	B
406	Spectrogram 1	1	59053.593260761	59053.593260761	46.1	46.1	B
407	Spectrogram 1	3	59175.405779200	59175.405779200	85.3	85.3	A
408	Spectrogram 1	1	59221.852271892	59221.852271892	46.1	46.1	B
409	Spectrogram 1	1	59276.624079312	59276.624079312	45.1	45.1	B
410	Spectrogram 1	3	59387.920410726	59387.920410726	80.2	80.2	A
411	Spectrogram 1	1	59431.737856662	59431.737856662	46.1	46.1	B
412	Spectrogram 1	1	59486.947838541	59486.947838541	44.1	44.1	B
413	Spectrogram 1	1	59542.157820420	59542.157820420	44.1	44.1	B
414	Spectrogram 1	1	59596.053278921	59596.053278921	45.1	45.1	B
415	Spectrogram 1	1	59650.825105079	59650.825105079	46.1	46.1	B
416	Spectrogram 1	1	59705.158738039	59705.158738039	45.1	45.1	B
417	Spectrogram 1	1	59759.054196540	59759.054196540	46.1	46.1	B
418	Spectrogram 1	1	59813.826003960	59813.826003960	45.1	45.1	B
419	Spectrogram 1	1	59926.436858753	59926.436858753	81.2	81.2	A
420	Spectrogram 1	1	59976.388747120	59976.388747120	46.1	46.1	B
421	Spectrogram 1	1	60030.722380080	60030.722380080	46.1	46.1	B
422	Spectrogram 1	1	60085.932380697	60085.932380697	44.1	44.1	B
423	Spectrogram 1	1	60140.266013657	60140.266013657	46.1	46.1	B
424	Spectrogram 1	1	60194.161472158	60194.599646618	45.1	45.1	B
425	Spectrogram 1	1	60276.100096058	60276.100096058	82.2	82.2	A
426	Spectrogram 1	1	60325.175654244	60325.175654244	45.1	45.1	B
427	Spectrogram 1	1	60378.194763826	60378.194763826	44.1	44.1	B
428	Spectrogram 1	3	60485.109331910	60485.109331910	81.2	81.2	A
429	Spectrogram 1	1	60532.432173520	60532.432173520	47.1	47.1	B
430	Spectrogram 1	1	60587.203999678	60587.203999678	45.1	45.1	B
431	Spectrogram 1	1	60639.346760341	60639.346760341	46.1	46.1	B
432	Spectrogram 1	1	60718.218163026	60718.218163026	84.3	84.3	A
433	Spectrogram 1	1	60768.170051393	60768.170051393	46.1	46.1	B
434	Spectrogram 1	1	60823.380052009	60823.380052009	45.1	45.1	B
435	Spectrogram 1	1	60877.713684970	60877.713684970	47.1	47.1	B
436	Spectrogram 1	1	60932.485492389	60932.485492389	45.1	45.1	B
437	Spectrogram 1	1	60985.504601972	60985.504601972	45.1	45.1	B
438	Spectrogram 1	1	61081.026652850	61081.026652850	83.2	83.2	A
439	Spectrogram 1	1	61130.102192298	61130.102192298	46.1	46.1	B
440	Spectrogram 1	1	61184.873999717	61184.873999717	46.1	46.1	B
441	Spectrogram 1	1	61239.645807137	61239.645807137	47.1	47.1	B
442	Spectrogram 1	1	61293.979458835	61293.979458835	43.1	43.1	B
443	Spectrogram 1	3	61380.299827329	61380.299827329	84.3	84.3	A
444	Spectrogram 1	1	61432.442587992	61432.442587992	44.1	44.1	B
445	Spectrogram 1	1	61507.808595002	61507.808595002	81.2	81.2	A
446	Spectrogram 1	1	61556.007804269	61556.007804269	46.1	46.1	B
447	Spectrogram 1	1	61612.532309526	61612.532309526	45.1	45.1	B
448	Spectrogram 1	1	61732.592111390	61732.592111390	83.2	83.2	A
449	Spectrogram 1	1	61782.982192954	61782.982192954	45.1	45.1	B
450	Spectrogram 1	1	61837.754000374	61837.754000374	46.1	46.1	B
451	Spectrogram 1	1	61892.087633334	61892.087633334	45.1	45.1	B
452	Spectrogram 1	1	61945.983091835	61945.983091835	45.1	45.1	B
453	Spectrogram 1	1	62000.316743533	62000.316743533	46.1	46.1	B
454	Spectrogram 1	1	62056.841248791	62056.841248791	46.1	46.1	B
455	Spectrogram 1	1	62110.736707292	62110.736707292	45.1	45.1	B
456	Spectrogram 1	1	62191.360807813	62191.360807813	81.2	81.2	A
457	Spectrogram 1	1	62241.312714918	62241.312714918	46.1	46.1	B
458	Spectrogram 1	1	62296.960871256	62296.960871256	46.1	46.1	B
459	Spectrogram 1	1	62352.609027595	62352.609027595	45.1	45.1	B
460	Spectrogram 1	3	62478.803290628	62478.803290628	83.2	83.2	A
461	Spectrogram 1	1	62527.440655616	62527.440655616	46.1	46.1	B
462	Spectrogram 1	1	62582.650637496	62582.650637496	45.1	45.1	B
463	Spectrogram 1	1	62637.422444915	62637.422444915	45.1	45.1	B
464	Spectrogram 1	1	62692.632426794	62692.632426794	46.1	46.1	B
465	Spectrogram 1	1	62746.089729574	62746.089729574	47.1	47.1	B
466	Spectrogram 1	1	62824.084783340	62824.084783340	85.3	85.3	A
467	Spectrogram 1	1	62874.913020625	62874.913020625	45.1	45.1	B
468	Spectrogram 1	3	63078.225988505	63078.225988505	80.2	80.2	A
469	Spectrogram 1	1	63129.054225790	63129.054225790	61.2	61.2	B
470	Spectrogram 1	1	63180.320637535	63180.320637535	59.2	59.2	B
471	Spectrogram 1	3	63273.213641657	63273.213641657	85.3	85.3	A
472	Spectrogram 1	3	63321.412832186	63321.412832186	45.1	45.1	B
473	Spectrogram 1	3	63399.407904690	63399.407904690	81.2	81.2	A
474	Spectrogram 1	3	63446.730746300	63446.730746300	59.2	59.2	B
475	Spectrogram 1	3	63520.344055472	63520.344055472	82.2	82.2	A
476	Spectrogram 1	3	63568.981420461	63568.981420461	60.2	60.2	B
477	Spectrogram 1	3	63884.905243134	63884.905243134	83.2	83.2	A
478	Spectrogram 1	1	63934.418957041	63934.418957041	45.1	45.1	B
479	Spectrogram 1	1	63988.752590002	63988.752590002	46.1	46.1	B
480	Spectrogram 1	1	64043.524397421	64043.524397421	46.1	46.1	B
481	Spectrogram 1	3	64133.350180327	64133.350180327	86.3	86.3	A
482	Spectrogram 1	1	64178.920324101	64178.920324101	45.1	45.1	B
483	Spectrogram 1	1	64291.531160156	64291.531160156	83.2	83.2	A
484	Spectrogram 1	1	64436.128750481	64436.128750481	42.1	42.1	B
485	Spectrogram 1	1	64556.188552346	64556.188552346	85.3	85.3	A
486	Spectrogram 1	1	64607.893138550	64607.893138550	58.2	58.2	B
487	Spectrogram 1	1	64694.213525781	64694.213525781	84.3	84.3	A
488	Spectrogram 1	1	64742.412716310	64742.412716310	60.2	60.2	B
489	Spectrogram 1	3	64837.934767188	64837.934767188	84.3	84.3	A
490	Spectrogram 1	1	64887.886655555	64887.886655555	45.1	45.1	B
491	Spectrogram 1	1	64965.881709321	64965.881709321	82.2	82.2	A
492	Spectrogram 1	1	65011.890027553	65011.890027553	44.1	44.1	B
493	Spectrogram 1	1	65152.105873286	65152.105873286	83.2	83.2	A
494	Spectrogram 1	1	65199.428714896	65199.428714896	58.2	58.2	B
495	Spectrogram 1	1	65299.770666089	65299.770666089	81.2	81.2	A
496	Spectrogram 1	1	65348.846224275	65348.846224275	45.1	45.1	B
497	Spectrogram 1	1	65473.725945192	65473.725945192	47.1	47.1	B
498	Spectrogram 1	3	65571.438868367	65571.438868367	84.3	84.3	A
499	Spectrogram 1	1	65812.873014210	65812.873014210	81.2	81.2	A
500	Spectrogram 1	1	65862.386728118	65862.386728118	46.1	46.1	B
501	Spectrogram 1	1	65918.473058916	65918.473058916	44.1	44.1	B
502	Spectrogram 1	1	66077.968580860	66077.968580860	82.2	82.2	A
503	Spectrogram 1	1	66126.167771389	66126.167771389	44.1	44.1	B
504	Spectrogram 1	1	66220.813454610	66220.813454610	82.2	82.2	A
505	Spectrogram 1	1	66270.765342977	66270.765342977	46.1	46.1	B
506	Spectrogram 1	1	66385.128895607	66385.128895607	84.3	84.3	A
507	Spectrogram 1	1	66432.451737218	66432.451737218	46.1	46.1	B
508	Spectrogram 1	1	66787.811261233	66787.811261233	82.2	82.2	A
509	Spectrogram 1	1	66838.639498518	66838.639498518	45.1	45.1	B
510	Spectrogram 1	1	66924.083518093	66924.083518093	79.2	79.2	A
511	Spectrogram 1	1	66967.462789570	66967.462789570	45.1	45.1	B
512	Spectrogram 1	1	67022.234615727	67022.234615727	46.1	46.1	B
513	Spectrogram 1	1	67080.511818822	67080.511818822	44.1	44.1	B
514	Spectrogram 1	1	67481.879580328	67481.879580328	83.2	83.2	A
515	Spectrogram 1	1	67530.955119776	67530.955119776	43.1	43.1	B
516	Spectrogram 1	1	67612.017394757	67612.017394757	84.3	84.3	A
517	Spectrogram 1	1	67661.531108665	67661.531108665	45.1	45.1	B
518	Spectrogram 1	1	67781.152714437	67781.152714437	83.2	83.2	A
519	Spectrogram 1	1	67830.666428344	67830.666428344	44.1	44.1	B
520	Spectrogram 1	1	67914.357750081	67914.357750081	84.3	84.3	A
521	Spectrogram 1	1	67965.624140194	67965.624140194	45.1	45.1	B
522	Spectrogram 1	1	68019.957773154	68019.957773154	46.1	46.1	B
523	Spectrogram 1	1	68166.746217039	68166.746217039	83.2	83.2	A
524	Spectrogram 1	1	68213.192688098	68213.192688098	45.1	45.1	B
525	Spectrogram 1	1	68267.964495518	68267.964495518	46.1	46.1	B
526	Spectrogram 1	1	68324.927175234	68324.927175234	44.1	44.1	B
527	Spectrogram 1	1	68408.618496972	68408.618496972	85.3	85.3	A
528	Spectrogram 1	1	68459.884887084	68459.884887084	46.1	46.1	B
529	Spectrogram 1	1	68516.847566800	68516.847566800	46.1	46.1	B
530	Spectrogram 1	1	68702.195381846	68702.195381846	84.3	84.3	A
531	Spectrogram 1	1	68752.585444673	68752.585444673	45.1	45.1	B
532	Spectrogram 1	1	68890.610399370	68890.610399370	84.3	84.3	A
533	Spectrogram 1	1	68940.124132015	68940.124132015	45.1	45.1	B
534	Spectrogram 1	1	69267.002297434	69267.002297434	83.2	83.2	A
535	Spectrogram 1	1	69313.448790126	69313.448790126	45.1	45.1	B
536	Spectrogram 1	1	69964.137918486	69964.137918486	81.2	81.2	A
537	Spectrogram 1	1	70012.337109015	70012.337109015	45.1	45.1	B
538	Spectrogram 1	1	70067.985265354	70067.985265354	45.1	45.1	B
539	Spectrogram 1	1	70259.905697290	70259.905697290	80.2	80.2	A
540	Spectrogram 1	1	70305.475841063	70305.475841063	43.1	43.1	B
541	Spectrogram 1	3	70516.675949212	70516.675949212	83.2	83.2	A
542	Spectrogram 1	1	70563.122441904	70563.122441904	43.1	43.1	B
543	Spectrogram 1	1	71662.940307469	71662.940307469	83.2	83.2	A
544	Spectrogram 1	1	71710.263149080	71710.263149080	46.1	46.1	B
545	Spectrogram 1	1	71844.344512011	71844.344512011	84.3	84.3	A
546	Spectrogram 1	1	71892.105528081	71892.105528081	46.1	46.1	B
547	Spectrogram 1	1	71988.942102336	71988.942102336	83.2	83.2	A
548	Spectrogram 1	1	72038.455816244	72038.455816244	46.1	46.1	B
549	Spectrogram 1	1	72146.246733246	72146.246733246	82.2	82.2	A
550	Spectrogram 1	1	72191.378702560	72191.378702560	45.1	45.1	B
551	Spectrogram 1	1	72246.588703177	72246.588703177	45.1	45.1	B
552	Spectrogram 1	1	72301.360510596	72301.360510596	45.1	45.1	B
553	Spectrogram 1	1	72388.995402468	72388.995402468	84.3	84.3	A
554	Spectrogram 1	1	72436.318244079	72436.318244079	44.1	44.1	B
555	Spectrogram 1	1	72491.090070236	72491.090070236	46.1	46.1	B
556	Spectrogram 1	1	72546.738226575	72546.738226575	44.1	44.1	B
557	Spectrogram 1	1	72601.510033994	72601.510033994	44.1	44.1	B
558	Spectrogram 1	1	72722.008029055	72722.008029055	84.3	84.3	A
559	Spectrogram 1	1	73165.440619401	73165.440619401	81.2	81.2	A
560	Spectrogram 1	1	73434.479756185	73434.479756185	81.2	81.2	A
561	Spectrogram 1	1	73483.117121173	73483.117121173	59.2	59.2	B
562	Spectrogram 1	1	73530.439962784	73530.439962784	58.2	58.2	B
563	Spectrogram 1	1	73647.432543433	73647.432543433	82.2	82.2	A
564	Spectrogram 1	1	73694.755403781	73694.755403781	60.2	60.2	B
565	Spectrogram 1	3	73822.264171454	73822.264171454	79.2	79.2	A
566	Spectrogram 1	1	73869.587031803	73869.587031803	45.1	45.1	B
567	Spectrogram 1	1	74043.980466627	74043.980466627	83.2	83.2	A
568	Spectrogram 1	1	74094.370529453	74094.370529453	44.1	44.1	B
569	Spectrogram 1	1	74144.760611017	74144.760611017	43.1	43.1	B
570	Spectrogram 1	1	74197.341546140	74197.341546140	45.1	45.1	B
571	Spectrogram 1	1	74251.237004641	74251.675179100	44.1	44.1	B
572	Spectrogram 1	1	74305.570637601	74305.570637601	43.1	43.1	B
573	Spectrogram 1	1	74404.598043784	74404.598043784	80.2	80.2	A
574	Spectrogram 1	1	74450.168187557	74450.168187557	44.1	44.1	B
575	Spectrogram 1	1	74555.330057803	74555.330057803	84.3	84.3	A
576	Spectrogram 1	1	74599.585678198	74599.585678198	44.1	44.1	B
577	Spectrogram 1	3	74696.860426913	74696.860426913	83.2	83.2	A
578	Spectrogram 1	1	74741.554221768	74741.554221768	46.1	46.1	B
579	Spectrogram 1	3	75029.873034763	75029.873034763	84.3	84.3	A
580	Spectrogram 1	1	75076.319527455	75076.319527455	45.1	45.1	B
581	Spectrogram 1	3	75191.559429004	75191.559429004	83.2	83.2	A
582	Spectrogram 1	1	75241.073142911	75241.073142911	45.1	45.1	B
583	Spectrogram 1	3	75354.560346622	75354.560346622	85.3	85.3	A
584	Spectrogram 1	1	75405.826758367	75405.826758367	45.1	45.1	B
585	Spectrogram 1	1	76247.559929374	76247.559929374	81.2	81.2	A
586	Spectrogram 1	1	76297.511817741	76297.511817741	45.1	45.1	B
587	Spectrogram 1	1	76347.025531649	76347.025531649	44.1	44.1	B
588	Spectrogram 1	1	76425.458759874	76425.458759874	84.3	84.3	A
589	Spectrogram 1	1	76473.219775944	76473.219775944	44.1	44.1	B
590	Spectrogram 1	1	76526.238885526	76526.238885526	45.1	45.1	B
591	Spectrogram 1	1	76582.763369150	76582.763369150	47.1	47.1	B
592	Spectrogram 1	1	80966.699010824	80966.699010824	82.2	82.2	A
593	Spectrogram 1	1	81013.145503516	81013.145503516	44.1	44.1	B
594	Spectrogram 1	3	81821.577455982	81821.577455982	78.2	78.2	A
595	Spectrogram 1	1	81868.462123133	81868.462123133	46.1	46.1	B
596	Spectrogram 1	3	82231.708787416	82231.708787416	82.2	82.2	A
597	Spectrogram 1	1	82280.784326864	82280.784326864	45.1	45.1	B
598	Spectrogram 1	1	82333.803436447	82333.803436447	46.1	46.1	B
599	Spectrogram 1	1	82389.451592785	82389.451592785	46.1	46.1	B
600	Spectrogram 1	1	82443.785225746	82443.785225746	44.1	44.1	B
601	Spectrogram 1	3	82590.573647998	82590.573647998	83.2	83.2	A
602	Spectrogram 1	1	82638.772838527	82638.772838527	46.1	46.1	B
603	Spectrogram 1	3	82731.665802278	82731.665802278	84.3	84.3	A
604	Spectrogram 1	1	82778.112294970	82778.112294970	46.1	46.1	B
605	Spectrogram 1	3	82885.465037513	82885.465037513	82.2	82.2	A
606	Spectrogram 1	1	82931.911530205	82931.911530205	45.1	45.1	B
607	Spectrogram 1	3	83038.387942566	83038.387942566	83.2	83.2	A
608	Spectrogram 1	1	83087.901656474	83087.901656474	44.1	44.1	B
609	Spectrogram 1	3	83185.614560911	83185.614560911	83.2	83.2	A
610	Spectrogram 1	1	83236.004642475	83236.004642475	44.1	44.1	B
611	Spectrogram 1	3	83311.370649484	83311.370649484	83.2	83.2	A
612	Spectrogram 1	1	83359.569840014	83359.569840014	45.1	45.1	B
613	Spectrogram 1	1	83409.959902840	83409.959902840	45.1	45.1	B
614	Spectrogram 1	3	83498.471121997	83498.471121997	82.2	82.2	A
615	Spectrogram 1	1	83546.670312527	83546.670312527	46.1	46.1	B
616	Spectrogram 1	1	83600.127596568	83600.127596568	45.1	45.1	B
617	Spectrogram 1	1	83655.775752907	83655.775752907	45.1	45.1	B
618	Spectrogram 1	1	83710.547538694	83710.547538694	45.1	45.1	B
619	Spectrogram 1	1	83784.599022325	83784.599022325	83.2	83.2	A
620	Spectrogram 1	1	83833.236387314	83833.236387314	45.1	45.1	B
621	Spectrogram 1	1	83888.446369193	83888.446369193	46.1	46.1	B
622	Spectrogram 1	1	83937.960101838	83937.960101838	46.1	46.1	B
623	Spectrogram 1	1	83993.170083717	83993.170083717	45.1	45.1	B
624	Spectrogram 1	1	84087.815766939	84087.815766939	83.2	83.2	A
625	Spectrogram 1	1	84135.138608549	84135.138608549	45.1	45.1	B
626	Spectrogram 1	1	84190.348609166	84190.348609166	45.1	45.1	B
627	Spectrogram 1	1	84243.367718748	84243.367718748	45.1	45.1	B
628	Spectrogram 1	3	84396.728779524	84396.728779524	84.3	84.3	A
629	Spectrogram 1	1	84443.175290953	84443.175290953	46.1	46.1	B
630	Spectrogram 1	1	84497.947098373	84497.947098373	46.1	46.1	B
631	Spectrogram 1	1	84552.718905793	84552.718905793	44.1	44.1	B
632	Spectrogram 1	1	84607.928887672	84607.928887672	45.1	45.1	B
633	Spectrogram 1	1	84660.948015992	84660.948015992	44.1	44.1	B
634	Spectrogram 1	1	84717.472521249	84717.472521249	44.1	44.1	B
635	Spectrogram 1	1	84772.244328669	84772.244328669	45.1	45.1	B
636	Spectrogram 1	1	84877.844373374	84877.844373374	84.3	84.3	A
637	Spectrogram 1	1	84922.100012507	84922.100012507	44.1	44.1	B
638	Spectrogram 1	1	84997.904193976	84997.904193976	85.3	85.3	A
639	Spectrogram 1	1	85043.036163290	85043.036163290	45.1	45.1	B
640	Spectrogram 1	3	85204.722557531	85204.722557531	82.2	82.2	A
641	Spectrogram 1	1	85252.483573601	85252.483573601	45.1	45.1	B
642	Spectrogram 1	1	85308.131748677	85308.131748677	45.1	45.1	B
643	Spectrogram 1	1	85361.150858259	85361.150858259	45.1	45.1	B
644	Spectrogram 1	1	85497.423115119	85497.423115119	82.2	82.2	A
645	Spectrogram 1	3	28266.358368209	28266.358368209	84.5	84.5	A
